time	type	subtype	content
105.151	state		hold_poke
105.351	event	timer	poke_hold_timer
105.351	state		poked_in
105.352	variable	print	{"num_t": 15, "num_t_in_block": 24, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [8, 8], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 13}, "rank_counts": {"best": 13, "second": 0, "third": 2}, "tot_rew_amt": 104}
105.359	state		choice
105.661	event	timer	pulse_off_timer
105.714	event	timer	pulse_on_timer
106.018	event	timer	pulse_off_timer
106.032	event	sync	rsync
106.071	event	timer	pulse_on_timer
106.375	event	timer	pulse_off_timer
106.428	event	timer	pulse_on_timer
106.732	event	timer	pulse_off_timer
106.785	event	timer	pulse_on_timer
106.789	state		ITI
107.790	state		wait_init
109.997	event	input	C1_out
111.159	event	input	B2_in
111.167	state		wait_choice
111.193	event	input	B2_out
111.667	event	timer	init_cue_timer
112.096	event	sync	rsync
112.199	event	input	C1_in
112.203	state		hold_poke
112.402	event	timer	poke_hold_timer
112.402	state		poked_in
112.403	variable	print	{"num_t": 16, "num_t_in_block": 25, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [9, 9], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 14}, "rank_counts": {"best": 14, "second": 0, "third": 2}, "tot_rew_amt": 112}
112.410	state		choice
112.712	event	timer	pulse_off_timer
112.765	event	timer	pulse_on_timer
113.069	event	timer	pulse_off_timer
113.122	event	timer	pulse_on_timer
113.426	event	timer	pulse_off_timer
113.479	event	timer	pulse_on_timer
113.783	event	timer	pulse_off_timer
113.836	event	timer	pulse_on_timer
113.840	state		ITI
114.606	event	sync	rsync
114.841	state		wait_init
115.689	event	sync	rsync
116.950	event	input	C1_out
118.370	event	input	B2_in
118.378	state		wait_choice
118.399	event	input	B2_out
118.878	event	timer	init_cue_timer
119.260	event	input	C1_in
119.263	state		hold_poke
119.463	event	timer	poke_hold_timer
119.463	state		poked_in
119.464	variable	print	{"num_t": 17, "num_t_in_block": 26, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 0], "stream_hold": [1, 10], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 3}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 15}, "rank_counts": {"best": 15, "second": 0, "third": 2}, "tot_rew_amt": 118}
119.471	state		choice
119.773	event	timer	pulse_off_timer
119.826	event	timer	pulse_on_timer
120.130	event	timer	pulse_off_timer
120.183	event	timer	pulse_on_timer
120.487	event	timer	pulse_off_timer
120.540	event	timer	pulse_on_timer
120.544	state		ITI
121.545	state		wait_init
122.286	event	sync	rsync
